"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12361","mencari produk berdasarkan nama","chromium","2026-09-24","passed","2026-09-24","Katalog Produk","","",""
"","18740","membuat customer perorangan lalu verifikasi detail kontak","chromium","2026-09-24","passed","2026-09-24","Customer Perorangan","","",""
"","10840","menonaktifkan produk","chromium","2026-09-24","passed","2026-09-24","Katalog Produk","","",""
"","20892","mengedit customer perorangan lalu verifikasi detail kontak","chromium","2026-09-24","passed","2026-09-24","Customer Perorangan","","",""
"","16257","menghapus customer perorangan lalu verifikasi tidak tampil di tabel","chromium","2026-09-24","passed","2026-09-24","Customer Perorangan","","",""
"","5890","membuka detail produk","chromium","2026-09-24","passed","2026-09-24","Katalog Produk","","",""
"","19506","membuat customer perusahaan lalu verifikasi detail kontak","chromium","2026-09-24","passed","2026-09-24","Customer Perusahaan","","",""
"","14319","berhasil login dengan kredensial valid","chromium","2026-09-24","passed","2026-09-24","Login","","",""
"","14798","menghapus customer perusahaan lalu verifikasi tidak tampil di tabel","chromium","2026-09-24","passed","2026-09-24","Customer Perusahaan","","",""
"","52231","mengedit produk lalu menyimpan perubahan","chromium","2026-09-24","broken","2026-09-24","Katalog Produk","","",""
"","20227","mengedit customer perusahaan lalu verifikasi detail kontak","chromium","2026-09-24","passed","2026-09-24","Customer Perusahaan","","",""
"","4343","menonaktifkan tombol Sign In saat form kosong","chromium","2026-09-24","passed","2026-09-24","Login","","",""
"","8981","menolak login dengan email tidak terdaftar","chromium","2026-09-24","passed","2026-09-24","Login","","",""
"","14240","menolak login dengan password salah","chromium","2026-09-24","passed","2026-09-24","Login","","",""
